            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2425109.000000000, A.D. 1927-Aug-16 12:00:00.0000,  1.214939728024437E+08, -8.949365410657206E+07, -1.081888030224293E+04,
2425140.000000000, A.D. 1927-Sep-16 12:00:00.0000,  1.489654331455008E+08, -1.638393395988307E+07,  1.696000800468028E+03,
2425170.000000000, A.D. 1927-Oct-16 12:00:00.0000,  1.366144017228359E+08,  5.885151620323082E+07,  1.382153049764410E+04,
2425201.000000000, A.D. 1927-Nov-16 12:00:00.0000,  8.613282475188868E+07,  1.201165930927097E+08,  2.312163870394975E+04,
2425231.000000000, A.D. 1927-Dec-16 12:00:00.0000,  1.347425008709859E+07,  1.467385751960073E+08,  2.672067895980179E+04,
2425262.000000000, A.D. 1928-Jan-16 12:00:00.0000, -6.532841429964107E+07,  1.322664610202281E+08,  2.379214827045798E+04,
2425293.000000000, A.D. 1928-Feb-16 12:00:00.0000, -1.252841129116543E+08,  7.933222293124579E+07,  1.500588015312329E+04,
2425322.000000000, A.D. 1928-Mar-16 12:00:00.0000, -1.491107824673381E+08,  8.731103800173907E+06,  3.604656604901887E+03,
2425353.000000000, A.D. 1928-Apr-16 12:00:00.0000, -1.340052563620887E+08, -6.871636168404859E+07, -8.408915516238660E+03,
2425383.000000000, A.D. 1928-May-16 12:00:00.0000, -8.430273844736429E+07, -1.259391318014079E+08, -1.698368317519873E+04,
2425414.000000000, A.D. 1928-Jun-16 12:00:00.0000, -1.089231127543543E+07, -1.516419607592349E+08, -2.045109709900618E+04,
2425444.000000000, A.D. 1928-Jul-16 12:00:00.0000,  6.301971870090932E+07, -1.381920940377730E+08, -1.757460064636916E+04,
2425475.000000000, A.D. 1928-Aug-16 12:00:00.0000,  1.226115001921063E+08, -8.833387463863745E+07, -8.969472242649645E+03,
2425506.000000000, A.D. 1928-Sep-16 12:00:00.0000,  1.491756651151368E+08, -1.485949764961250E+07,  3.266879987582564E+03,
2425536.000000000, A.D. 1928-Oct-16 12:00:00.0000,  1.358755454055046E+08,  6.023568945828086E+07,  1.530558491163701E+04,
2425567.000000000, A.D. 1928-Nov-16 12:00:00.0000,  8.460976135781124E+07,  1.208631387600178E+08,  2.457634499718994E+04,
2425597.000000000, A.D. 1928-Dec-16 12:00:00.0000,  1.161609328608860E+07,  1.465478507808644E+08,  2.772907457979023E+04,
2425628.000000000, A.D. 1929-Jan-16 12:00:00.0000, -6.697608886777396E+07,  1.310545573806029E+08,  2.397099014020711E+04,
2425659.000000000, A.D. 1929-Feb-16 12:00:00.0000, -1.262128556112679E+08,  7.735867338558280E+07,  1.406755139883235E+04,
2425687.000000000, A.D. 1929-Mar-16 12:00:00.0000, -1.489279249124231E+08,  9.060516091928912E+06,  2.551668991765473E+03,
2425718.000000000, A.D. 1929-Apr-16 12:00:00.0000, -1.341448420915189E+08, -6.844451740904127E+07, -1.013168124737591E+04,
2425748.000000000, A.D. 1929-May-16 12:00:00.0000, -8.467579575137852E+07, -1.258747189759790E+08, -1.880305422638357E+04,
2425779.000000000, A.D. 1929-Jun-16 12:00:00.0000, -1.136154657242506E+07, -1.518832032105731E+08, -2.194005909354985E+04,
2425809.000000000, A.D. 1929-Jul-16 12:00:00.0000,  6.262153757584354E+07, -1.387419114289040E+08, -1.886649598562717E+04,
2425840.000000000, A.D. 1929-Aug-16 12:00:00.0000,  1.224380119067136E+08, -8.913277327459009E+07, -1.024471024106443E+04,
2425871.000000000, A.D. 1929-Sep-16 12:00:00.0000,  1.493314515655029E+08, -1.577064456102923E+07,  1.401873191509396E+03,
2425901.000000000, A.D. 1929-Oct-16 12:00:00.0000,  1.363740054232632E+08,  5.938484701307201E+07,  1.255068056204915E+04,
2425932.000000000, A.D. 1929-Nov-16 12:00:00.0000,  8.539614013406086E+07,  1.202424439517072E+08,  2.064828329084069E+04,
2425962.000000000, A.D. 1929-Dec-16 12:00:00.0000,  1.253610725413270E+07,  1.462633152967595E+08,  2.303580413404852E+04,
2425993.000000000, A.D. 1930-Jan-16 12:00:00.0000, -6.610820825172639E+07,  1.311408670163267E+08,  1.895861523324251E+04,
2426024.000000000, A.D. 1930-Feb-16 12:00:00.0000, -1.255767297527298E+08,  7.773203014711094E+07,  9.449057180911303E+03,
2426052.000000000, A.D. 1930-Mar-16 12:00:00.0000, -1.485900404233136E+08,  9.548391790389210E+06, -1.951196468119975E+03,
2426083.000000000, A.D. 1930-Apr-16 12:00:00.0000, -1.341483893184916E+08, -6.800686425463156E+07, -1.403101988897845E+04,
2426113.000000000, A.D. 1930-May-16 12:00:00.0000, -8.492792953988704E+07, -1.256439726040854E+08, -2.263714761321247E+04,
2426144.000000000, A.D. 1930-Jun-16 12:00:00.0000, -1.172226432758730E+07, -1.519639762856322E+08, -2.615696143050492E+04,
2426174.000000000, A.D. 1930-Jul-16 12:00:00.0000,  6.232491450802807E+07, -1.391343214221594E+08, -2.368153330270946E+04,
2426205.000000000, A.D. 1930-Aug-16 12:00:00.0000,  1.223662378472691E+08, -8.977532522722870E+07, -1.587674589749053E+04,
2426236.000000000, A.D. 1930-Sep-16 12:00:00.0000,  1.495906575880661E+08, -1.651838806011494E+07, -4.732855663083494E+03,
2426266.000000000, A.D. 1930-Oct-16 12:00:00.0000,  1.369733682936884E+08,  5.870752542882620E+07,  6.378388866648078E+03,
2426297.000000000, A.D. 1930-Nov-16 12:00:00.0000,  8.627383667145270E+07,  1.198101394290160E+08,  1.490830191048980E+04,
2426327.000000000, A.D. 1930-Dec-16 12:00:00.0000,  1.353220968664393E+07,  1.461747909867490E+08,  1.765769528678805E+04,
2426358.000000000, A.D. 1931-Jan-16 12:00:00.0000, -6.518714083622146E+07,  1.314202699698527E+08,  1.391200157533586E+04,
2426389.000000000, A.D. 1931-Feb-16 12:00:00.0000, -1.249027964521823E+08,  7.828370619327359E+07,  4.239604334972799E+03,
2426417.000000000, A.D. 1931-Mar-16 12:00:00.0000, -1.482209190628741E+08,  1.020886517839328E+07, -7.159782868174836E+03,
2426448.000000000, A.D. 1931-Apr-16 12:00:00.0000, -1.341174325342923E+08, -6.740612787541220E+07, -1.977847973586246E+04,
2426478.000000000, A.D. 1931-May-16 12:00:00.0000, -8.514272895574138E+07, -1.252461723189165E+08, -2.871864989235997E+04,
2426509.000000000, A.D. 1931-Jun-16 12:00:00.0000, -1.204683157234936E+07, -1.518646138008766E+08, -3.239466713795066E+04,
2426539.000000000, A.D. 1931-Jul-16 12:00:00.0000,  6.205210439772782E+07, -1.393348406854097E+08, -2.970654705002904E+04,
2426570.000000000, A.D. 1931-Aug-16 12:00:00.0000,  1.222977256911621E+08, -9.021608193214017E+07, -2.129566612257436E+04,
2426601.000000000, A.D. 1931-Sep-16 12:00:00.0000,  1.498279823265449E+08, -1.706427284308621E+07, -9.590774361560121E+03,
2426631.000000000, A.D. 1931-Oct-16 12:00:00.0000,  1.375318178716961E+08,  5.822461006808458E+07,  1.637129585061222E+03,
2426662.000000000, A.D. 1931-Nov-16 12:00:00.0000,  8.709608821121059E+07,  1.195579846160763E+08,  9.907921734742820E+03,
2426692.000000000, A.D. 1931-Dec-16 12:00:00.0000,  1.446855108883487E+07,  1.462567711246764E+08,  1.238245111553371E+04,
2426723.000000000, A.D. 1932-Jan-16 12:00:00.0000, -6.432058170435341E+07,  1.318652207925614E+08,  8.293269037157297E+03,
2426754.000000000, A.D. 1932-Feb-16 12:00:00.0000, -1.242791958044838E+08,  7.900736680525702E+07, -1.300216501858085E+03,
2426783.000000000, A.D. 1932-Mar-16 12:00:00.0000, -1.481235809213035E+08,  8.467512163664754E+06, -1.286460856297798E+04,
2426814.000000000, A.D. 1932-Apr-16 12:00:00.0000, -1.330390675147412E+08, -6.892771822202355E+07, -2.469151098462567E+04,
2426844.000000000, A.D. 1932-May-16 12:00:00.0000, -8.335643010159586E+07, -1.261157516085840E+08, -3.279976566825807E+04,
2426875.000000000, A.D. 1932-Jun-16 12:00:00.0000, -9.957885253040697E+06, -1.517934288120742E+08, -3.563983575604111E+04,
2426905.000000000, A.D. 1932-Jul-16 12:00:00.0000,  6.395897677094162E+07, -1.383250261053309E+08, -3.267426712724566E+04,
2426936.000000000, A.D. 1932-Aug-16 12:00:00.0000,  1.235704593129187E+08, -8.844287139601408E+07, -2.460953483340889E+04,
2426967.000000000, A.D. 1932-Sep-16 12:00:00.0000,  1.501664779628949E+08, -1.493144622986993E+07, -1.349043461665884E+04,
2426997.000000000, A.D. 1932-Oct-16 12:00:00.0000,  1.368983164773805E+08,  6.021809200913244E+07, -2.476189707256854E+03,
2427028.000000000, A.D. 1932-Nov-16 12:00:00.0000,  8.565880722271235E+07,  1.209177836265418E+08,  5.978700563810766E+03,
2427058.000000000, A.D. 1932-Dec-16 12:00:00.0000,  1.267257337182272E+07,  1.466848305648742E+08,  9.008089493773878E+03,
2427089.000000000, A.D. 1933-Jan-16 12:00:00.0000, -6.593405226406410E+07,  1.312817060926616E+08,  5.875247485183179E+03,
2427120.000000000, A.D. 1933-Feb-16 12:00:00.0000, -1.252104503608333E+08,  7.766754839780395E+07, -2.883120450332761E+03,
2427148.000000000, A.D. 1933-Mar-16 12:00:00.0000, -1.479704688819056E+08,  9.424555258508135E+06, -1.361557989140134E+04,
2427179.000000000, A.D. 1933-Apr-16 12:00:00.0000, -1.332479796497508E+08, -6.803651141021577E+07, -2.532768421670422E+04,
2427209.000000000, A.D. 1933-May-16 12:00:00.0000, -8.383166346706618E+07, -1.254447566072522E+08, -3.363236773584783E+04,
2427240.000000000, A.D. 1933-Jun-16 12:00:00.0000, -1.055748916196687E+07, -1.514471556762143E+08, -3.690967800251395E+04,
2427270.000000000, A.D. 1933-Jul-16 12:00:00.0000,  6.340765192863747E+07, -1.383020835832210E+08, -3.399559415020794E+04,
2427301.000000000, A.D. 1933-Aug-16 12:00:00.0000,  1.232274595423610E+08, -8.868006397872432E+07, -2.550139970051497E+04,
2427332.000000000, A.D. 1933-Sep-16 12:00:00.0000,  1.501348001331781E+08, -1.528304388630072E+07, -1.356580831677839E+04,
2427362.000000000, A.D. 1933-Oct-16 12:00:00.0000,  1.371860480014806E+08,  5.992656755795959E+07, -1.883252613212913E+03,
2427393.000000000, A.D. 1933-Nov-16 12:00:00.0000,  8.620118093862867E+07,  1.208575003444419E+08,  7.133157316185534E+03,
2427423.000000000, A.D. 1933-Dec-16 12:00:00.0000,  1.331426195858826E+07,  1.469524622443093E+08,  1.033818336228281E+04,
2427454.000000000, A.D. 1934-Jan-16 12:00:00.0000, -6.538086718560909E+07,  1.318994743279525E+08,  6.993769130364060E+03,
2427485.000000000, A.D. 1934-Feb-16 12:00:00.0000, -1.249135452143070E+08,  7.854282007721995E+07, -1.869774328220636E+03,
2427513.000000000, A.D. 1934-Mar-16 12:00:00.0000, -1.479906684381362E+08,  1.039503728730728E+07, -1.207848399220593E+04,
2427544.000000000, A.D. 1934-Apr-16 12:00:00.0000, -1.336163680605499E+08, -6.714369053299130E+07, -2.320969409456477E+04,
2427574.000000000, A.D. 1934-May-16 12:00:00.0000, -8.445438238459016E+07, -1.247745990785195E+08, -3.073041935445368E+04,
2427605.000000000, A.D. 1934-Jun-16 12:00:00.0000, -1.129792210134649E+07, -1.510936034934700E+08, -3.307006852008402E+04,
2427635.000000000, A.D. 1934-Jul-16 12:00:00.0000,  6.271047970945284E+07, -1.382654049192853E+08, -2.964241468010098E+04,
2427666.000000000, A.D. 1934-Aug-16 12:00:00.0000,  1.227219997866950E+08, -8.890254821126311E+07, -2.099484009028971E+04,
2427697.000000000, A.D. 1934-Sep-16 12:00:00.0000,  1.499228783427494E+08, -1.563365241510668E+07, -9.469858950180002E+03,
2427727.000000000, A.D. 1934-Oct-16 12:00:00.0000,  1.372858937704620E+08,  5.961501674334464E+07,  1.753407771971077E+03,
2427758.000000000, A.D. 1934-Nov-16 12:00:00.0000,  8.655984614858991E+07,  1.207510098285932E+08,  1.038222761928290E+04,
2427788.000000000, A.D. 1934-Dec-16 12:00:00.0000,  1.378339803870142E+07,  1.471573324316564E+08,  1.384946686889976E+04,
2427819.000000000, A.D. 1935-Jan-16 12:00:00.0000, -6.498455396379987E+07,  1.324469979235171E+08,  1.144607958290726E+04,
2427850.000000000, A.D. 1935-Feb-16 12:00:00.0000, -1.247654607480441E+08,  7.935018312129048E+07,  3.817434657014906E+03,
2427878.000000000, A.D. 1935-Mar-16 12:00:00.0000, -1.481577888052184E+08,  1.129406309382423E+07, -5.872824708129745E+03,
2427909.000000000, A.D. 1935-Apr-16 12:00:00.0000, -1.341368348972120E+08, -6.631560074861145E+07, -1.624549515751377E+04,
2427939.000000000, A.D. 1935-May-16 12:00:00.0000, -8.523852310911372E+07, -1.241705020945573E+08, -2.349486042478681E+04,
2427970.000000000, A.D. 1935-Jun-16 12:00:00.0000, -1.221237094212971E+07, -1.508180450780522E+08, -2.603300688811392E+04,
2428000.000000000, A.D. 1935-Jul-16 12:00:00.0000,  6.183575685671809E+07, -1.383252792357035E+08, -2.284781097821891E+04,
2428031.000000000, A.D. 1935-Aug-16 12:00:00.0000,  1.220464110616922E+08, -8.924595236813085E+07, -1.445540169058740E+04,
2428062.000000000, A.D. 1935-Sep-16 12:00:00.0000,  1.495600479013963E+08, -1.612150453379293E+07, -2.714276126727462E+03,
2428092.000000000, A.D. 1935-Oct-16 12:00:00.0000,  1.372519682099165E+08,  5.916295987880553E+07,  8.932637585159391E+03,
2428123.000000000, A.D. 1935-Nov-16 12:00:00.0000,  8.679662430676132E+07,  1.205119756751599E+08,  1.829643421563506E+04,
