            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2424226.000000000, A.D. 1925-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424257.000000000, A.D. 1925-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424287.000000000, A.D. 1925-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424318.000000000, A.D. 1925-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424348.000000000, A.D. 1925-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424379.000000000, A.D. 1925-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424410.000000000, A.D. 1925-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424440.000000000, A.D. 1925-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424471.000000000, A.D. 1925-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424501.000000000, A.D. 1925-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424532.000000000, A.D. 1926-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424563.000000000, A.D. 1926-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424591.000000000, A.D. 1926-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424622.000000000, A.D. 1926-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424652.000000000, A.D. 1926-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424683.000000000, A.D. 1926-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424713.000000000, A.D. 1926-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424744.000000000, A.D. 1926-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424775.000000000, A.D. 1926-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424805.000000000, A.D. 1926-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424836.000000000, A.D. 1926-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424866.000000000, A.D. 1926-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424897.000000000, A.D. 1927-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424928.000000000, A.D. 1927-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424956.000000000, A.D. 1927-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2424987.000000000, A.D. 1927-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425017.000000000, A.D. 1927-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425048.000000000, A.D. 1927-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425078.000000000, A.D. 1927-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425109.000000000, A.D. 1927-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425140.000000000, A.D. 1927-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425170.000000000, A.D. 1927-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425201.000000000, A.D. 1927-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425231.000000000, A.D. 1927-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425262.000000000, A.D. 1928-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425293.000000000, A.D. 1928-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425322.000000000, A.D. 1928-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425353.000000000, A.D. 1928-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425383.000000000, A.D. 1928-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425414.000000000, A.D. 1928-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425444.000000000, A.D. 1928-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425475.000000000, A.D. 1928-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425506.000000000, A.D. 1928-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425536.000000000, A.D. 1928-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425567.000000000, A.D. 1928-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425597.000000000, A.D. 1928-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425628.000000000, A.D. 1929-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425659.000000000, A.D. 1929-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425687.000000000, A.D. 1929-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425718.000000000, A.D. 1929-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425748.000000000, A.D. 1929-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425779.000000000, A.D. 1929-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425809.000000000, A.D. 1929-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425840.000000000, A.D. 1929-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425871.000000000, A.D. 1929-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425901.000000000, A.D. 1929-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425932.000000000, A.D. 1929-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425962.000000000, A.D. 1929-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2425993.000000000, A.D. 1930-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426024.000000000, A.D. 1930-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426052.000000000, A.D. 1930-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426083.000000000, A.D. 1930-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426113.000000000, A.D. 1930-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426144.000000000, A.D. 1930-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426174.000000000, A.D. 1930-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426205.000000000, A.D. 1930-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426236.000000000, A.D. 1930-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426266.000000000, A.D. 1930-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426297.000000000, A.D. 1930-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426327.000000000, A.D. 1930-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426358.000000000, A.D. 1931-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426389.000000000, A.D. 1931-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426417.000000000, A.D. 1931-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426448.000000000, A.D. 1931-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426478.000000000, A.D. 1931-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426509.000000000, A.D. 1931-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426539.000000000, A.D. 1931-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426570.000000000, A.D. 1931-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426601.000000000, A.D. 1931-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426631.000000000, A.D. 1931-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426662.000000000, A.D. 1931-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426692.000000000, A.D. 1931-Dec-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426723.000000000, A.D. 1932-Jan-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426754.000000000, A.D. 1932-Feb-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426783.000000000, A.D. 1932-Mar-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426814.000000000, A.D. 1932-Apr-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426844.000000000, A.D. 1932-May-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426875.000000000, A.D. 1932-Jun-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426905.000000000, A.D. 1932-Jul-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426936.000000000, A.D. 1932-Aug-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426967.000000000, A.D. 1932-Sep-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2426997.000000000, A.D. 1932-Oct-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
2427028.000000000, A.D. 1932-Nov-16 12:00:00.0000,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
